variant,query_id,avg_relevance,ndcg@10,recall@10,recall@50,recall@100,precision@10,n_results,n_scored,n_missing,n_relevant
bm25,62,0.6,0.6218409625727136,0.06756756756756757,0.33783783783783783,0.6756756756756757,1.0,100,10,0,148
bm25,63,1.0,1.0,0.09433962264150944,0.4716981132075472,0.9245283018867925,1.0,100,10,0,106
bm25,64,0.625,0.6673332368392241,0.05405405405405406,0.05405405405405406,0.05405405405405406,1.0,45,4,41,74
bm25,65,0.65,0.6336878858340221,0.06535947712418301,0.3202614379084967,0.6274509803921569,1.0,100,10,0,153
bm25,66,0.55,1.0,0.15625,0.78125,1.0,1.0,74,10,0,64
bm25,67,0.35,0.7534494445524137,0.013888888888888888,0.06547619047619048,0.125,0.7,100,10,2,504
bm25,68,0.75,0.7453997240341457,0.05952380952380952,0.2976190476190476,0.5535714285714286,1.0,100,10,0,168
bm25,69,0.75,0.6614555394019698,0.04477611940298507,0.21393034825870647,0.3333333333333333,0.9,100,10,0,201
bm25,70,0.5,0.894099730870475,0.017892644135188866,0.09741550695825049,0.1848906560636183,0.9,100,10,1,503
bm25,71,0.7,0.6256767677166859,0.07246376811594203,0.36231884057971014,0.717391304347826,1.0,100,10,0,138
bm25,72,0.85,0.7859301106276133,0.05521472392638037,0.3006134969325153,0.5398773006134969,0.9,100,10,0,163
bm25,73,0.45,0.8899541168509598,0.05660377358490566,0.27672955974842767,0.3710691823899371,0.9,100,10,0,159
bm25,74,0.65,0.9870270983783832,0.11904761904761904,0.5833333333333334,0.7857142857142857,1.0,81,10,3,84
bm25,75,0.4,0.3734024199765012,0.051094890510948905,0.22627737226277372,0.36496350364963503,0.7,100,10,1,137
bm25,76,0.1,0.10513601339437383,0.03636363636363636,0.43636363636363634,0.5272727272727272,0.2,100,10,1,55
bm25,77,0.5,0.7626271450757109,0.015128593040847202,0.07564296520423601,0.14523449319213314,1.0,100,10,1,661
bm25,78,0.5,0.601226637232963,0.011723329425556858,0.05627198124267292,0.10316529894490035,1.0,100,10,1,853
bm25,79,0.3,0.4362115423097744,0.05714285714285714,0.3523809523809524,0.47619047619047616,0.6,100,10,0,105
bm25,80,0.8,0.8054171451078819,0.05102040816326531,0.25510204081632654,0.49489795918367346,1.0,100,10,0,196
bm25,81,0.55,0.53289040341216,0.0365296803652968,0.2191780821917808,0.3789954337899543,0.8,100,10,13,219
bm25,82,0.65,0.5675771815165339,0.01529051987767584,0.0764525993883792,0.1162079510703364,1.0,100,10,1,654
bm25,83,0.5,1.0,0.10309278350515463,0.29896907216494845,0.29896907216494845,1.0,100,10,16,97
bm25,84,0.05,0.05052726928222892,0.004784688995215311,0.05741626794258373,0.05741626794258373,0.1,100,10,6,209
bm25,85,0.5,1.0,0.09433962264150944,0.10377358490566038,0.10377358490566038,1.0,100,10,70,106
bm25,86,0.6,0.5031137956511511,0.07246376811594203,0.36231884057971014,0.6956521739130435,1.0,100,10,0,138
bm25,87,0.5,1.0,0.04524886877828054,0.22624434389140272,0.3755656108597285,1.0,100,10,0,221
bm25,88,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,100,10,4,108
bm25,89,0.9,0.889611971433483,0.07352941176470588,0.35294117647058826,0.5514705882352942,1.0,100,10,0,136
bm25,90,0.45,0.8899541168509598,0.03734439834024896,0.15352697095435686,0.15352697095435686,0.9,100,10,21,241
bm25,91,0.35,0.4917762352396622,0.007462686567164179,0.06567164179104477,0.09850746268656717,0.5,100,10,6,670
bm25,92,0.45,0.9052116356304492,0.05421686746987952,0.1686746987951807,0.1686746987951807,0.9,100,10,15,166
bm25,93,0.5,0.47872695826534817,0.03619909502262444,0.21266968325791855,0.24434389140271492,0.8,100,10,4,221
bm25,94,0.6,0.7841950610360567,0.06666666666666667,0.31333333333333335,0.6333333333333333,1.0,100,10,0,150
bm25,95,0.6,0.5414819413910847,0.012269938650306749,0.051533742331288344,0.051533742331288344,1.0,100,10,5,815
bm25,96,0.9,0.8322624027341509,0.03546099290780142,0.17375886524822695,0.17375886524822695,1.0,100,10,1,282
bm25,97,0.55,1.0,0.05102040816326531,0.25510204081632654,0.5102040816326531,1.0,100,10,0,196
bm25,98,0.5,1.0,0.08849557522123894,0.4336283185840708,0.7610619469026548,1.0,100,10,6,113
bm25,99,0.45,0.9216017310213246,0.08108108108108109,0.44144144144144143,0.8018018018018018,0.9,100,10,0,111
bm25,100,0.85,0.8397362878617494,0.012315270935960592,0.0603448275862069,0.08497536945812807,1.0,100,10,6,812
bm25,101,0.4,0.4590979601698767,0.02702702702702703,0.11196911196911197,0.11196911196911197,0.7,100,10,12,259
bm25,102,0.9,0.9216017310213246,0.15789473684210525,0.8245614035087719,0.9649122807017544,0.9,61,10,0,57
bm25,103,0.9,0.9182135838879946,0.027247956403269755,0.1362397820163488,0.2724795640326976,1.0,100,10,0,367
bm25,104,0.65,0.5675771815165339,0.056179775280898875,0.2808988764044944,0.449438202247191,1.0,100,10,1,178
bm25,105,1.0,1.0,0.07352941176470588,0.34558823529411764,0.5073529411764706,1.0,100,10,0,136
bm25,106,1.0,1.0,0.10526315789473684,0.4421052631578947,0.5052631578947369,1.0,100,10,0,95
bm25,107,0.55,0.495622501498571,0.026402640264026403,0.0594059405940594,0.0594059405940594,0.8,100,10,26,303
bm25,108,1.0,1.0,0.07936507936507936,0.3888888888888889,0.7380952380952381,1.0,100,10,0,126
bm25,109,1.0,1.0,0.04048582995951417,0.20242914979757085,0.3724696356275304,1.0,100,10,0,247
bm25,110,0.5,1.0,0.02881844380403458,0.1440922190201729,0.276657060518732,1.0,100,10,0,347
bm25,111,0.95,0.957024409423078,0.06451612903225806,0.3225806451612903,0.432258064516129,1.0,70,10,0,155
bm25,112,1.0,1.0,0.03759398496240601,0.18796992481203006,0.37218045112781956,1.0,100,10,0,266
bm25,113,1.0,1.0,0.026455026455026454,0.13227513227513227,0.21428571428571427,1.0,100,10,0,378
bm25,114,0.55,0.7883624928840887,0.008136696501220505,0.04068348250610252,0.07892595606183889,1.0,100,10,1,1229
bm25,115,1.0,1.0,0.04878048780487805,0.24390243902439024,0.4878048780487805,1.0,100,10,0,205
bm25,116,0.5,1.0,0.01721170395869191,0.08605851979345955,0.1721170395869191,1.0,100,10,0,581
bm25,117,0.75,0.7851450627370471,0.023752969121140142,0.1187648456057007,0.13064133016627077,1.0,100,10,3,421
bm25,118,1.0,1.0,0.046296296296296294,0.23148148148148148,0.4583333333333333,1.0,100,10,0,216
bm25,119,0.95,0.8710732282692343,0.0273972602739726,0.136986301369863,0.2547945205479452,1.0,100,10,0,365
bm25,120,1.0,1.0,0.012077294685990338,0.05434782608695652,0.10869565217391304,1.0,100,10,0,828
bm25,121,0.75,0.6221649012466396,0.004932182490752158,0.027127003699136867,0.04808877928483354,0.8,100,10,0,1622
bm25,122,0.8,0.7104770117651426,0.01904761904761905,0.04285714285714286,0.04285714285714286,0.8,100,10,13,420
bm25,123,0.5,0.5458106844357439,0.002631578947368421,0.0061403508771929825,0.0061403508771929825,0.6,100,10,2,2280
bm25,124,0.6,0.5672746540835606,0.006191950464396285,0.033281733746130034,0.06424148606811146,0.8,100,10,0,1292
bm25,125,0.25,0.3138459315103413,0.02,0.16,0.176,0.5,100,10,14,250
bm25,126,1.0,1.0,0.014749262536873156,0.07374631268436578,0.1224188790560472,1.0,100,10,1,678
bm25,127,0.7,0.7935840677649109,0.025089605734767026,0.14336917562724014,0.2903225806451613,0.7,100,10,0,279
bm25,128,1.0,1.0,0.007326007326007326,0.03663003663003663,0.07326007326007326,1.0,100,10,0,1365
bm25,129,0.35,0.4825019283195349,0.042105263157894736,0.042105263157894736,0.042105263157894736,0.4,74,10,42,95
bm25,130,0.65,0.5544747689018329,0.01152073732718894,0.0576036866359447,0.06105990783410138,1.0,100,10,11,868
bm25,131,1.0,1.0,0.0055309734513274336,0.025442477876106196,0.0459070796460177,1.0,100,10,0,1808
bm25,132,0.65,0.5805854890965833,0.01353637901861252,0.05583756345177665,0.06429780033840947,0.8,100,10,0,591
bm25,133,1.0,0.8006937664098819,0.035,0.035,0.035,1.0,100,7,93,200
bm25,134,0.4,0.502493447590221,0.06557377049180328,0.10655737704918032,0.10655737704918032,0.8,100,10,36,122
bm25,135,0.5,0.41421356237309515,0.06756756756756757,0.32432432432432434,0.3581081081081081,1.0,100,10,3,148
bm25,136,0.45,0.9266360779006398,0.05454545454545454,0.07878787878787878,0.07878787878787878,0.9,100,10,63,165
bm25,137,0.5,0.5539582218975843,0.034482758620689655,0.19704433497536947,0.33004926108374383,0.7,100,10,10,203
bm25,138,1.0,1.0,0.06535947712418301,0.27450980392156865,0.3202614379084967,1.0,100,10,0,153
bm25,139,0.35,0.7885497208855956,0.028112449799196786,0.1606425702811245,0.24096385542168675,0.7,100,10,1,249
bm25,140,0.45,0.5442373476742451,0.072,0.392,0.728,0.9,100,10,0,125
bm25,141,0.6,0.9064320721744371,0.2777777777777778,0.9444444444444444,0.9444444444444444,1.0,100,10,0,36
bm25,142,0.3,0.25169289515160853,0.06666666666666667,0.10666666666666667,0.10666666666666667,0.5,100,10,50,75
bm25,143,0.45,0.5613928332629993,0.04265402843601896,0.2132701421800948,0.36492890995260663,0.9,100,10,1,211
bm25,144,0.95,0.9540753572988657,0.007558578987150416,0.03779289493575208,0.07482993197278912,1.0,100,10,0,1323
bm25,145,0.35,0.3204929198313324,0.038461538461538464,0.2923076923076923,0.3384615384615385,0.5,100,10,1,130
bm25,146,0.5,0.5563847904658876,0.09090909090909091,0.4090909090909091,0.4090909090909091,1.0,100,10,3,110
bm25,147,0.3,0.4690000933206748,0.04054054054054054,0.05405405405405406,0.12162162162162163,0.3,100,10,0,74
bm25,148,1.0,1.0,0.050761421319796954,0.19289340101522842,0.19289340101522842,1.0,100,10,4,197
bm25,149,0.95,0.9611891744649164,0.05917159763313609,0.2958579881656805,0.30177514792899407,1.0,100,10,4,169
bm25,150,0.8333333333333334,0.6489315753318465,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.8333333333333334,6,6,0,21
bm25,151,0.7,0.5887939116557004,0.0035398230088495575,0.017699115044247787,0.03185840707964602,1.0,100,10,1,2825
bm25,152,0.75,0.8128301229321815,0.0028337531486146094,0.01353904282115869,0.02707808564231738,0.9,100,10,0,3176
bm25,153,1.0,1.0,0.06535947712418301,0.32679738562091504,0.48366013071895425,1.0,100,10,1,153
bm25,155,0.4,0.3365454884431656,0.00235626767200754,0.008011310084825637,0.012723845428840716,0.5,100,10,1,2122
bm25,156,0.65,0.5332681733631802,0.09259259259259259,0.46296296296296297,0.75,1.0,100,10,0,108
bm25,157,0.65,0.6612365191774122,0.016544117647058824,0.08823529411764706,0.1636029411764706,0.9,100,10,0,544
bm25,158,1.0,1.0,0.013140604467805518,0.06438896189224705,0.12352168199737187,1.0,100,10,0,761
bm25,159,0.95,0.9540753572988657,0.10416666666666667,0.5208333333333334,0.5833333333333334,1.0,61,10,0,96
